Threshold,Delete Count,Modules Deleted,sarif_MoJoFM,sarif_a2a,sarif_ARI,sarif_a2a_adj,sarif_c2c_cvg,MoJoFM,a2a,ARI,a2a_adj,c2c_cvg
80,0,,0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.8652,0.8999388,0.41523449,0.56267857,0.36363636
80,1,"Client,module type:Administrative,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.8689,0.90238678,0.42028195,0.57350976,0.36363636
80,1,"Common, :Utility,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.8265,0.8880049,0.40367301,0.51257831,0.27272727
80,1,"Storage, :Data Access,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.839,0.88732394,0.38506068,0.50045841,0.3
80,1,"Logic, :Business Logic,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.8102,0.87974296,0.36256937,0.47332121,0.27272727
80,1,"Test Driver, :,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.8414,0.88956681,0.37679084,0.54192371,0.1875
80,1,"E2E (End-to-End), :,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.8589,0.90330477,0.39997709,0.58027328,0.36363636
80,2,"Client,module type:Administrative,,Test Driver, :,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.8414,0.89200732,0.38057041,0.55236253,0.1875
80,2,"Logic, :Business Logic,,Test Driver, :,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.8402,0.89481707,0.37682625,0.56505172,0.17647059
80,2,"Common, :Utility,,Test Driver, :,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.7765,0.87438875,0.31424285,0.4663502,0.15384615
80,2,"Common, :Utility,,Storage, :Data Access,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.8414,0.88990826,0.38423394,0.52382027,0.25
80,2,"Test Driver, :,,E2E (End-to-End), :,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.8127,0.88452237,0.35269428,0.55732982,0.06451613
80,2,"Common, :Utility,,E2E (End-to-End), :,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.8102,0.89650949,0.37350339,0.54424876,0.3
80,2,"Common, :Utility,,Logic, :Business Logic,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.7665,0.8733945,0.35539867,0.45406527,0.16666667
80,2,"Client,module type:Administrative,,E2E (End-to-End), :,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.8664,0.89889706,0.37484688,0.54769642,0.55555556
80,2,"Client,module type:Administrative,,Common, :Utility,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.824,0.88776758,0.40185403,0.51710631,0.25
80,2,"Client,module type:Administrative,,Logic, :Business Logic,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.8152,0.8882425,0.36047709,0.50456418,0.3
80,3,"Common, :Utility,,Logic, :Business Logic,,Test Driver, :,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.7753,0.87637363,0.31130783,0.48184743,0.13333333
80,3,"Client,module type:Administrative,,Common, :Utility,,Test Driver, :,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.7953,0.88156288,0.35014104,0.50414511,0.13333333
80,3,"Common, :Utility,,Test Driver, :,,E2E (End-to-End), :,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.8402,0.89307412,0.37312954,0.57602594,0.13043478
80,3,"Common, :Utility,,Storage, :Data Access,,Logic, :Business Logic,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.7703,0.87072127,0.32706691,0.44507709,0.15384615
80,3,"Storage, :Data Access,,Test Driver, :,,E2E (End-to-End), :,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.819,0.88382619,0.33643485,0.5580505,0.05882353
80,3,"Client,module type:Administrative,,Storage, :Data Access,,E2E (End-to-End), :,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.804,0.8903482,0.29411105,0.53787666,0.28571429
80,3,"Common, :Utility,,Logic, :Business Logic,,E2E (End-to-End), :,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.7528,0.85618115,0.28089438,0.37177278,0.18181818
80,3,"Client,module type:Administrative,,Common, :Utility,,E2E (End-to-End), :,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.8002,0.88776758,0.38632785,0.51978145,0.25
80,3,"Common, :Utility,,Storage, :Data Access,,Test Driver, :,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.8077,0.87698413,0.32497297,0.48447068,0.13333333
80,3,"Client,module type:Administrative,,Common, :Utility,,Logic, :Business Logic,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.7603,0.86795343,0.31980563,0.40756742,0.22222222
80,4,"Common, :Utility,,Logic, :Business Logic,,Test Driver, :,,E2E (End-to-End), :,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.7953,0.88281724,0.34239239,0.53589177,0.08333333
80,4,"Client,module type:Administrative,,Common, :Utility,,Storage, :Data Access,,E2E (End-to-End), :,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.7865,0.88522589,0.2683398,0.51988465,0.13333333
80,4,"Client,module type:Administrative,,Storage, :Data Access,,Logic, :Business Logic,,Test Driver, :,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.7965,0.88222763,0.32199434,0.52054241,0.1
80,4,"Client,module type:Administrative,,Storage, :Data Access,,Test Driver, :,,E2E (End-to-End), :,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.8052,0.86864153,0.27968638,0.52036908,0.04166667
80,4,"Client,module type:Administrative,,Common, :Utility,,Storage, :Data Access,,Test Driver, :,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.8015,0.88522589,0.33897867,0.51988465,0.13333333
80,4,"Client,module type:Administrative,,Storage, :Data Access,,Logic, :Business Logic,,E2E (End-to-End), :,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.7091,0.86911942,0.20607827,0.50184327,0.05714286
80,4,"Common, :Utility,,Storage, :Data Access,,Logic, :Business Logic,,Test Driver, :,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.7778,0.88186813,0.30488191,0.50284535,0.13333333
80,4,"Common, :Utility,,Storage, :Data Access,,Logic, :Business Logic,,E2E (End-to-End), :,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.6529,0.83958838,0.14478761,0.36629843,0.03448276
80,4,"Storage, :Data Access,,Logic, :Business Logic,,Test Driver, :,,E2E (End-to-End), :,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.8377,0.88240575,0.34735281,0.57566798,0.0625
80,4,"Client,module type:Administrative,,Common, :Utility,,Logic, :Business Logic,,Test Driver, :,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.774,0.87736425,0.31613345,0.48972964,0.125
80,5,"Client,module type:Administrative,,Common, :Utility,,Storage, :Data Access,,Logic, :Business Logic,,Test Driver, :,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.7615,0.87766931,0.29383836,0.48843812,0.125
80,5,"Client,module type:Administrative,,Common, :Utility,,Storage, :Data Access,,Logic, :Business Logic,,E2E (End-to-End), :,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.6816,0.86268657,0.18939378,0.50497623,0.03846154
80,5,"Client,module type:Administrative,,Common, :Utility,,Storage, :Data Access,,Test Driver, :,,E2E (End-to-End), :,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.6954,0.84688995,0.19538759,0.43441772,0.02040816
80,5,"Client,module type:Administrative,,Common, :Utility,,Logic, :Business Logic,,Test Driver, :,,E2E (End-to-End), :,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.7965,0.86735312,0.29735698,0.4809637,0.07142857
80,5,"Client,module type:Administrative,,Storage, :Data Access,,Logic, :Business Logic,,Test Driver, :,,E2E (End-to-End), :,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.8302,0.86801427,0.29826918,0.53463755,0.05084746
80,5,"Common, :Utility,,Storage, :Data Access,,Logic, :Business Logic,,Test Driver, :,,E2E (End-to-End), :,",0.8302,0.88508557,0.35956646,0.50761934,0.23076923,0.6929,0.84709755,0.15469292,0.43381428,0.02083333
